id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-29,0.14015636353203492,6.076147540909105,45.85359737891012,69.27273787747721,,181.6437112715439,,2.066797232434764,75.52954454328892,19.74666397141553,,23.415226452465955,,,0.9574271077563381,0.0,1.0,106.4422359911748,
AS14.01,2014-04-30,0.18266409349302842,5.309925545842171,42.17810368361947,36.488668692910025,4.677563008661668,,,24.660064154924658,7.344845488504165,22.963849627548658,,22.491227089689882,,,0.8944271909999159,0.5,0.44721359549995787,86.52132358961573,
AS14.01,2014-05-01,0.037171004290393196,13.435123253840842,46.60194988306708,53.76886716772076,35.281241817156555,,,1.4959749997911067,172.9157875491106,,,12.974504347629878,,0.0,0.894427190999916,0.0,0.0,78.2429724142764,0.0
AS14.01,2014-05-02,0.1059368428638638,6.229215722129113,60.2918693587714,44.30466476869751,40.71598902520071,,,1.137417821207317,60.808878962141314,,,0.741755013464688,,,0.8366600265340756,0.0,0.547722557505166,123.32274483355317,
AS14.01,2014-05-03,0.09775567897982783,9.010981466337126,60.715415052756036,161.87399015967415,13.592021630353596,,,1.3097059593664522,25.75614032614359,,,31.217522508734312,,,0.8366600265340756,0.0,0.0,136.27755649908696,
AS14.01,2014-05-04,0.22536589930283293,19.7567389887275,71.00962647039793,243.14762129921542,,,,1.5411124228945794,138.26502048710657,,,,,,0.5773502691896257,0.0,0.0,184.49748257278475,
AS14.01,2014-05-05,0.02270801417292525,12.30244843524629,55.93692585142476,,,,,,,,,25.79427954670053,,,,,,77.92458822582932,
AS14.02,2014-02-17,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-18,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-02-19,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-20,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-02-21,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-22,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-23,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-02-24,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-25,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-02-26,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-02-27,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-02-28,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-03-01,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-03-02,,,,,,,,,,,,,,,,,,,
AS14.02,2014-03-03,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-04,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-05,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-06,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-07,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-03-08,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-09,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-10,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-03-11,,,,,,,,,,,,,,0.0,,,,,0.0
AS14.02,2014-03-12,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-13,,,,,,,,,,,,,,0.0,,,,,
AS14.02,2014-03-14,,5.903230942216546,24.706600505165778,17.32566051202025,,,,22.64356100488929,1.6420963227939256,,,,,0.0,,,,28.586483561780277,
AS14.02,2014-03-15,,19.458614520558573,38.85679974314919,51.64997142991573,,,,,,16.419354624519023,,,,0.0,,,,69.62780594274182,
AS14.02,2014-03-16,,8.539149595425076,20.797162370153906,,,,,14.766443579361148,8.701711701120175,,,,,0.0,1.0,1.0,0.5773502691896257,52.029211048988316,
AS14.02,2014-03-17,0.05698952856624923,13.064859051388515,54.02551506740009,253.62735455305946,,,,8.10979737174205,9.86783530522835,,,,,0.0,1.2909944487358056,1.0,1.2583057392117918,80.76146662899075,
AS14.02,2014-03-18,0.19546931508309645,8.167924923938859,43.85785764751123,38.339267994229274,,,,7.325147049718526,15.694310856958767,,,,,0.0,0.5477225575051662,0.4472135954999579,0.44721359549995787,45.35997995837713,
AS14.02,2014-03-19,0.29003177236493677,18.579940435574745,43.34355298166337,23.857718417545907,,,,8.956389041721373,5.4294479921995755,21.115705645950158,,,,0.0,0.8944271909999159,0.8944271909999159,1.3038404810405297,65.73768889253536,
AS14.02,2014-03-20,0.19196224851814214,12.372424281334698,34.95147719102104,23.3131100980638,,,,7.461503495322795,20.041598420535227,,,,,0.0,1.2909944487358056,0.5,0.5,86.17148387269262,
AS14.02,2014-03-21,0.24542601120767688,13.865372585668007,72.85047430780408,119.27889293723904,,,,2.580378654383887,27.227120113048354,19.869436884764678,,,,0.0,0.5,0.5,1.0,110.82986311056843,
AS14.02,2014-03-22,0.29197998514415385,13.077091871693712,19.991780366837126,46.625424478275924,,,,6.726362811108739,10.660620159790092,20.554102623988786,,,,0.0,0.816496580927726,1.0,1.0,47.24673213499053,
AS14.02,2014-03-23,0.24223273525339103,11.35103897322288,60.596496092373705,42.77116962389307,,,,12.615390213941069,17.07678646584304,27.36288202313046,,,,0.0,0.0,1.1547005383792515,0.4999999999999999,54.68984006285072,
AS14.02,2014-03-24,0.1411113666582712,9.416312646129482,57.988335543847974,124.6355289143655,,,,8.306190360207259,23.463515835357256,,,,,0.0,1.0954451150103324,1.0954451150103324,1.1401754250991378,65.19027029099229,
AS14.02,2014-03-25,0.21343433731413428,8.999867444818355,39.98264965785002,111.21905820361904,,,,4.1267408447829625,15.259133849381271,,,,,0.0,0.5,0.5,0.5,66.0183078138208,
AS14.02,2014-03-26,0.23109097704894113,13.705631672263268,29.76968324616761,68.76202515144195,,,,0.9362390186271885,87.52448152961851,,,,,0.0,0.4472135954999579,1.3416407864998738,1.3038404810405297,78.75495312857676,
AS14.02,2014-03-27,0.18707277071797027,7.227252489186004,49.35032751780297,70.42461245829837,,,,75.21997614406453,8.583643827486254,,,3.34995153198769,,0.0,1.4142135623730951,1.2909944487358054,0.9574271077563381,52.70478853058084,
AS14.02,2014-03-28,0.22655690218438987,15.906337683975643,23.118314039362733,94.61781200296576,,,,9.026107890755325,17.609480346425723,,,,,0.0,0.8944271909999159,0.894427190999916,1.3038404810405297,52.144118001308655,0.0
